time,prec,total_prec,duration,id
2022-11-07T04:00,0.0,0.11999999999999961,170,82
2022-11-07T04:10,0.8683610814113334,0.8683610814113334,0,83
2022-11-07T04:20,1.0854513517641668,1.9538124331755002,10,83
2022-11-07T04:30,1.302541622117,3.2563540552925003,20,83
2022-11-07T04:40,0.1941527926276666,3.450506847920167,30,83
2022-11-07T04:50,0.1712153149024999,3.6217221628226666,40,83
2022-11-07T05:00,0.1482778371773331,3.7699999999999996,50,83
2022-11-07T05:10,0.0351198409914649,3.8051198409914644,60,83
2022-11-07T05:20,0.0286928563077282,3.8338126972991926,70,83
2022-11-07T05:30,0.0222658716239915,3.8560785689231842,80,83
2022-11-07T05:40,0.0258423944814684,3.8819209634046525,90,83
2022-11-07T05:50,0.0479738103589383,3.929894773763591,100,83
2022-11-07T06:00,0.0701052262364082,3.999999999999999,110,83
2022-11-07T06:10,0.2808047378505486,4.280804737850548,120,83
2022-11-07T06:20,0.3481815014805782,4.628986239331126,130,83
2022-11-07T06:30,0.4155582651106079,5.044544504441734,140,83
2022-11-07T06:40,0.0955391046855948,5.140083609127329,150,83
2022-11-07T06:50,0.1218184985194217,5.26190210764675,160,83
2022-11-07T07:00,0.1480978923532485,5.409999999999998,170,83
2022-11-07T07:10,0.1344234079173838,5.544423407917382,180,83
2022-11-07T07:20,0.1546815834767642,5.699104991394146,190,83
2022-11-07T07:30,0.1749397590361446,5.87404475043029,200,83
2022-11-07T07:40,0.0655708548479632,5.939615605278253,210,83
2022-11-07T07:50,0.1019850831899024,6.041600688468155,220,83
2022-11-07T08:00,0.1383993115318416,6.179999999999997,230,83
2022-11-07T08:10,0.1838234398782343,6.363823439878232,240,83
2022-11-07T08:20,0.2221144596651445,6.585937899543376,250,83
2022-11-07T08:30,0.2604054794520547,6.846343378995431,260,83
2022-11-07T08:40,0.0923098934550989,6.938653272450529,270,83
2022-11-07T08:50,0.1412188736681887,7.079872146118718,280,83
2022-11-07T09:00,0.1901278538812785,7.269999999999996,290,83
2022-11-07T09:10,0.3166149242565924,7.586614924256589,300,83
2022-11-07T09:20,0.3813970450720029,7.968011969328591,310,83
2022-11-07T09:30,0.4461791658874133,8.414191135216004,320,83
2022-11-07T09:40,0.0814830746212829,8.495674209837286,330,83
2022-11-07T09:50,0.088602954927997,8.584277164765284,340,83
2022-11-07T10:00,0.095722835234711,8.679999999999994,350,83
2022-11-07T10:10,0.103145103645461,8.783145103645456,360,83
2022-11-07T10:20,0.1102859185132237,8.89343102215868,370,83
2022-11-07T10:30,0.1174267333809864,9.010857755539666,380,83
2022-11-07T10:40,0.016309268525137,9.027167024064804,390,83
2022-11-07T10:50,0.0130474148201096,9.040214438884913,400,83
2022-11-07T11:00,0.0097855611150822,9.049999999999995,410,83
2022-11-07T11:10,0.0,9.049999999999995,420,83
2022-11-07T11:20,0.0,9.049999999999995,430,83
2022-11-07T11:30,0.0,9.049999999999995,440,83
2022-11-07T11:40,0.0,9.049999999999995,450,83
2022-11-07T11:50,0.0,9.049999999999995,460,83
2022-11-07T12:00,0.0,9.049999999999995,470,83
2022-11-07T12:10,0.0,9.049999999999995,480,83
2022-11-07T12:20,0.0,9.049999999999995,490,83
2022-11-07T12:30,0.0,9.049999999999995,500,83
2022-11-07T12:40,0.0,9.049999999999995,510,83
2022-11-07T12:50,0.0,9.049999999999995,520,83
2022-11-07T13:00,0.0,9.049999999999995,530,83
2022-11-07T23:10,0.1011764705882352,0.1011764705882352,0,84
2022-11-07T23:20,0.1264705882352941,0.2276470588235293,10,84
